name,seed,val,test,minutes
lora_r8_all_linear,1,3.968829340009547,3.967825185007124,3.8686911821365357
lora_r8_all_linear,2,3.9486522034033023,3.9544018667135665,3.8551066835721333
lora_r8_all_linear,3,3.954114558091804,3.9508371495488865,3.8660659352938334
full_ft_lr5e-5,1,3.9830894185535946,3.9787801415172974,2.5748940825462343
full_ft_lr5e-5,2,3.977261934707414,3.9712575264831087,2.5758779724438985
full_ft_lr5e-5,3,3.999214976581175,3.9765719869243563,2.571489417552948
